CAMADA: cam_escondida 
Perceptron: 1
Peso [0]: -1.3233725412313526
Peso [0]: -1.3233725412313526
Peso [2]: 2.080493248624433
Peso [3]: 3.718824230809875
Peso [4]: -0.7469629207730577
Peso [5]: -3.2357419708947477
Peso [6]: -1.1031599851907223
Peso [7]: -1.6607520069143746
Peso [8]: -0.9973531135533689
Peso [9]: -2.828330385205808
Peso [10]: 2.637456766377122
Peso [11]: -1.718824230809873
Peso [12]: -1.0377272118033698
Peso [13]: -1.5375660941754976
Peso [14]: -3.1671542009449585
Peso [15]: -3.490950919522784
Peso [9]: -2.828330385205808
Peso [17]: 0.7469629207730577
Peso [9]: -2.828330385205808
Peso [19]: -2.636012416320999
Peso [20]: -1.3626271663922105
Peso [21]: -2.1671542009449576
Peso [22]: -1.4909509195227875
Peso [17]: 0.7469629207730577
Peso [24]: -1.8672676206432934
Peso [25]: 1.6374567663771187
Peso [26]: -3.6360124163210026
Peso [27]: -2.3939414601897973
Peso [28]: -1.1671542009449547
Peso [0]: -1.3233725412313526
Peso [30]: 2.5754436996315544
Peso [31]: -1.9998496063473234
Peso [32]: 1.5048747806730949
Peso [33]: -3.7685944020250197
Peso [34]: -2.261359474485781
Peso [28]: -1.1671542009449547
Peso [36]: 1.9748362320601436
Peso [37]: 1.0819375986805524
Peso [38]: 2.1525065176390052
Peso [39]: 0.08193759868055697
Peso [40]: 2.829774735261931
Peso [41]: -1.3939414601898052
Peso [28]: -1.1671542009449547
Peso [43]: 2.1671542009449576
Peso [44]: -2.2728112175092416
Peso [44]: -2.2728112175092416
Peso [46]: -1.1633050631133066
Peso [47]: 1.829774735261932
Peso [48]: -2.362627166392203
Peso [7]: -1.6607520069143746
Peso [50]: 2.6607520069143717
Peso [9]: -2.828330385205808
Peso [52]: -1.8283303852058095
Peso [53]: -3.8283303852058115
Peso [54]: 3.537566094175493
Peso [13]: -1.5375660941754976
Peso [56]: 0.5868954426550137
Peso [57]: 3.1424146103515858
Peso [58]: 3.272811217509245
Peso [59]: -1.7469629207730553
Peso [60]: 2.163305063113305
Peso [61]: 2.0377272118033725
Peso [62]: 0.15250651763900727

Perceptron: 2
Peso [0]: 1.7817937405560476
Peso [1]: -0.21820625944395977
Peso [2]: -1.6135634623169333
Peso [3]: -0.5021592189509626
Peso [4]: -1.105716145360309
Peso [5]: 1.300238354972222
Peso [6]: -0.3500585860678658
Peso [7]: 1.7401625457209615
Peso [8]: -1.4474890866881733
Peso [9]: 1.4272704075867262
Peso [10]: 0.03082733399607313
Peso [11]: -0.49784078104903956
Peso [12]: -0.8000256668236948
Peso [13]: 1.1215799290501216
Peso [14]: 0.8237718566109818
Peso [15]: -0.5310983975781942
Peso [9]: 1.4272704075867262
Peso [17]: -0.894283854639695
Peso [18]: -0.5727295924132726
Peso [19]: -0.4689599778554082
Peso [20]: -0.2534983403414816
Peso [14]: 0.8237718566109818
Peso [15]: -0.5310983975781942
Peso [23]: 0.10571614536030689
Peso [24]: 1.31812638333471
Peso [25]: -0.9691726660039294
Peso [26]: 1.531040022144591
Peso [27]: -0.18395104655617495
Peso [14]: 0.8237718566109818
Peso [29]: 0.781793740556042
Peso [30]: 0.6468690621483685
Peso [31]: 1.9684233243747937
Peso [32]: 1.6811242750361515
Peso [33]: 0.18133696318466963
Peso [34]: 1.1657520124037442
Peso [35]: -0.1762281433890182
Peso [36]: 1.072458528831154
Peso [37]: -0.051696106176270476
Peso [38]: -1.0859513190640575
Peso [39]: 0.9483038938237306
Peso [40]: 0.13459694855393883
Peso [41]: 1.8160489534438278
Peso [42]: -1.1762281433890187
Peso [43]: -0.8237718566109818
Peso [44]: -0.4902061522409291
Peso [45]: 1.5097938477590684
Peso [46]: -0.4153173408766956
Peso [40]: 0.13459694855393883
Peso [20]: -0.2534983403414816
Peso [49]: 0.7401625457209626
Peso [50]: -0.7401625457209626
Peso [51]: 0.42727040758672774
Peso [51]: 0.42727040758672774
Peso [9]: 1.4272704075867262
Peso [54]: 0.8784200709498867
Peso [13]: 1.1215799290501216
Peso [56]: -0.6971727732069547
Peso [57]: -0.6146493330346116
Peso [58]: -1.5097938477590684
Peso [4]: -1.105716145360309
Peso [60]: -1.5846826591233043
Peso [61]: 0.8000256668236948
Peso [62]: -0.08595131906405433

Perceptron: 3
Peso [0]: -0.22134986539278786
Peso [1]: -2.221349865392787
Peso [2]: -1.5608243361719143
Peso [3]: 0.6605667486131103
Peso [4]: -2.8216291857250244
Peso [5]: -2.2761065157710147
Peso [6]: -2.2864660518909594
Peso [7]: -0.39528323567396434
Peso [8]: -1.88757323731454
Peso [9]: -1.5662424563841697
Peso [10]: 1.9159534779539678
Peso [11]: -0.6605667486131103
Peso [12]: -0.40542887991675935
Peso [13]: -1.982442762192443
Peso [14]: -0.8905473868855123
Peso [15]: -1.3923090861029903
Peso [9]: -1.5662424563841697
Peso [17]: 0.8216291857250283
Peso [9]: -1.5662424563841697
Peso [19]: -0.765581917733803
Peso [20]: -0.1957298824471816
Peso [21]: 0.1094526131144874
Peso [22]: -0.39230908610299414
Peso [17]: 0.8216291857250283
Peso [24]: 0.210596709390426
Peso [10]: 1.9159534779539678
Peso [19]: -0.765581917733803
Peso [27]: -0.9038647389384427
Peso [21]: 0.1094526131144874
Peso [29]: -1.2213498653927874
Peso [30]: 0.6088278876195679
Peso [31]: 0.22095624551036955
Peso [32]: 1.9263130140739115
Peso [33]: -0.7552223816138595
Peso [34]: -1.914224275058386
Peso [14]: -0.8905473868855123
Peso [36]: 1.0898868482351487
Peso [37]: 0.58954722404825
Peso [38]: 1.2720620975939145
Peso [39]: -0.4104527759517464
Peso [40]: 0.7166140166043355
Peso [41]: -1.9038647389384447
Peso [42]: -1.8905473868855205
Peso [43]: 1.8905473868855205
Peso [44]: 1.7601637975215467
Peso [44]: 1.7601637975215467
Peso [46]: 1.6658395052926054
Peso [40]: 0.7166140166043355
Peso [48]: -1.1957298824471836
Peso [49]: -1.3952832356739668
Peso [50]: 1.3952832356739668
Peso [51]: 0.4337575436158275
Peso [51]: 0.4337575436158275
Peso [53]: -0.5662424563841689
Peso [54]: 0.982442762192438
Peso [13]: -1.982442762192443
Peso [56]: -0.06556018496036309
Peso [57]: 0.2608460689453514
Peso [58]: 0.239836202478457
Peso [59]: -1.8216291857250295
Peso [60]: 0.33416049470739717
Peso [61]: 0.40542887991675935
Peso [62]: -0.7279379024060912

Perceptron: 4
Peso [0]: 0.1492530470626817
Peso [1]: 1.149253047062685
Peso [2]: -0.045643678543393996
Peso [3]: 0.5093237570286137
Peso [4]: 0.7576085819755348
Peso [5]: 1.2065204034887997
Peso [6]: 0.20891324650425644
Peso [7]: 0.3719089935365861
Peso [8]: 0.5486779166352536
Peso [9]: -1.7176607087669575
Peso [10]: 0.03405446628612895
Peso [11]: -0.5093237570286137
Peso [12]: 0.36946233623320507
Peso [13]: -0.3295144630246242
Peso [14]: 0.8609035654126994
Peso [15]: 0.05968334475914096
Peso [16]: -0.7176607087669534
Peso [17]: -0.7576085819755348
Peso [16]: -0.7176607087669534
Peso [19]: -0.38996279399187256
Peso [20]: 0.039371578442664715
Peso [21]: -1.1390964345873016
Peso [15]: 0.05968334475914096
Peso [23]: 0.2423914180244696
Peso [24]: -0.6082279492303355
Peso [10]: 0.03405446628612895
