CAMADA: cam_escondida 
Perceptron: 1
Peso [0]: 2.832159337694637
Peso [1]: 1.832159337694641
Peso [2]: -0.9483983400875128
Peso [3]: -0.7696972157779821
Peso [4]: 3.065525079620168
Peso [5]: 2.9776082436585996
Peso [6]: -0.7188283316905214
Peso [7]: 2.5312318595266823
Peso [8]: 2.1048884297597437
Peso [9]: 1.67701662729227
Peso [10]: -3.158205668105879
Peso [11]: 1.7696972157779796
Peso [12]: 2.0567160578512698
Peso [13]: 2.685825649061167
Peso [14]: -0.3418238161737998
Peso [15]: 0.9779441054602295
Peso [16]: -0.3229833727077264
Peso [17]: -1.0655250796201685
Peso [16]: -0.3229833727077264
Peso [19]: 1.8761186334039925
Peso [20]: 2.5540506270886696
Peso [14]: -0.3418238161737998
Peso [22]: 2.977944105460226
Peso [17]: -1.0655250796201685
Peso [24]: -0.05968432060733719
Peso [25]: -1.1582056681058774
Peso [26]: -0.12388136659600597
Peso [27]: 2.476179697108537
Peso [14]: -0.3418238161737998
Peso [1]: 1.832159337694641
Peso [30]: 0.8942105478293406
Peso [31]: 2.636752254741778
Peso [32]: -0.46176909275675765
Peso [33]: 3.5725552087531134
Peso [34]: 0.7797431217594227
Peso [35]: 1.658176183826202
Peso [36]: -1.8572781899379232
Peso [37]: -1.2304853747893953
Peso [38]: -0.8745057342032966
Peso [39]: -0.2304853747893962
Peso [40]: -0.9591036619941559
Peso [27]: 2.476179697108537
Peso [35]: 1.658176183826202
Peso [43]: -0.6581761838262011
Peso [44]: -0.25070366602420824
Peso [45]: 0.7492963339757898
Peso [46]: -1.158023077538499
Peso [47]: -1.9591036619941562
Peso [48]: 3.554050627088673
Peso [7]: 2.5312318595266823
Peso [50]: -1.5312318595266856
Peso [51]: 0.6770166272922737
Peso [9]: 1.67701662729227
Peso [9]: 1.67701662729227
Peso [54]: -1.6858256490611694
Peso [55]: 1.6858256490611694
Peso [56]: 1.9246573356129713
Peso [57]: -0.003062957703510105
Peso [58]: 0.25070366602420824
Peso [59]: 2.0655250796201705
Peso [60]: 1.158023077538499
Peso [61]: -0.05671605785127217
Peso [62]: 0.1254942657967025

Perceptron: 2
Peso [0]: 0.025264289794773246
Peso [1]: -0.9747357102052274
Peso [2]: 1.138069566739974
Peso [3]: 0.40065057655358355
Peso [4]: -1.2575742683990956
Peso [5]: 0.05940228861824801
Peso [6]: 0.20586130364499775
Peso [7]: -1.5132986497921987
Peso [8]: -0.036959608101917375
Peso [9]: -0.3722404610954439
Peso [10]: 0.2859843838572305
Peso [11]: -0.40065057655358355
Peso [12]: -1.825593720629483
Peso [13]: 1.1957789911349448
Peso [14]: 0.2834192636143575
Peso [15]: -1.833677521508475
Peso [16]: -1.372240461095444
Peso [17]: -0.7424257316009074
Peso [16]: -1.372240461095444
Peso [19]: -1.4802070481540033
Peso [20]: -0.8640861485976732
Peso [14]: 0.2834192636143575
Peso [22]: 0.16632247849152715
Peso [23]: 0.2575742683990916
Peso [24]: -0.532231766276122
Peso [25]: 1.2859843838572342
Peso [26]: -0.4802070481540028
Peso [27]: 0.21366571043358965
Peso [28]: 1.2834192636143542
Peso [29]: -1.9747357102052294
Peso [30]: -0.04887605180833561
Peso [31]: 0.321309218697129
Peso [32]: 1.1395253688304814
Peso [33]: -1.6266660631807561
Peso [34]: 0.3601247254603382
Peso [35]: -0.7165807363856406
Peso [36]: -1.1754526765557949
Peso [37]: -1.056153097556797
Peso [38]: -1.2445545181956124
Peso [39]: 0.9438469024432053
Peso [40]: 0.17801779679867133
Peso [27]: 0.21366571043358965
Peso [35]: -0.7165807363856406
Peso [43]: 0.7165807363856406
Peso [44]: 0.9698970203185816
Peso [45]: -1.0301029796814147
Peso [46]: 0.9414869048604434
Peso [47]: -0.8219822032013286
Peso [48]: 0.13591385140232806
Peso [7]: -1.5132986497921987
Peso [50]: -0.4867013502078012
Peso [16]: -1.372240461095444
Peso [16]: -1.372240461095444
Peso [9]: -0.3722404610954439
Peso [54]: -0.1957789911349461
Peso [55]: -0.8042210088650548
Peso [56]: -1.658648346666579
Peso [57]: 0.6834891347474465
Peso [58]: -0.9698970203185816
Peso [4]: -1.2575742683990956
Peso [60]: 0.05851309513955704
Peso [61]: 1.825593720629483
Peso [38]: -1.2445545181956124

Perceptron: 3
Peso [0]: -0.8243130429196383
Peso [1]: 0.17568695708036192
Peso [2]: -3.0476781395503445
Peso [3]: -0.1826474496481436
Peso [4]: -1.6095712284675439
Peso [5]: -0.05895010505881162
Peso [6]: 0.4170549753576244
Peso [7]: 2.0521065297644956
Peso [8]: -0.40208497522652514
Peso [9]: 0.3691997171325421
Peso [10]: -0.20387650404805324
Peso [11]: 0.1826474496481436
Peso [12]: 0.5550809928820302
Peso [13]: 0.20454749578296347
Peso [14]: 0.15724141008956455
Peso [15]: -0.5072198555515942
Peso [16]: 2.369199717132545
Peso [17]: 0.6095712284675485
Peso [18]: 1.3691997171325383
Peso [19]: 0.29225438377516455
Peso [20]: -0.8439787541770278
Peso [14]: 0.15724141008956455
Peso [22]: 0.49278014444840723
Peso [17]: 0.6095712284675485
Peso [24]: 1.2802508506842738
Peso [10]: -0.20387650404805324
Peso [19]: 0.29225438377516455
Peso [27]: -0.5488119089869752
Peso [28]: 2.1572414100895716
Peso [29]: 1.1756869570803612
Peso [30]: 1.0446172816028463
Peso [31]: 1.80424577026784
Peso [32]: -0.6798815844644928
Peso [33]: 0.816249303358729
Peso [34]: 0.927193171429459
Peso [35]: 1.1572414100895632
Peso [36]: -2.0802960767321914
Peso [37]: -0.9593002598232336
Peso [38]: -0.2348013937558982
Peso [37]: -0.9593002598232336
Peso [40]: 0.7191781625945688
Peso [41]: 1.4511880910130246
Peso [14]: 0.15724141008956455
Peso [43]: -1.1572414100895632
Peso [44]: 2.1246234729077167
Peso [44]: 2.1246234729077167
Peso [46]: 0.9380712054233238
Peso [47]: -0.28082183740543004
Peso [48]: 1.1560212458229706
