CAMADA: cam_escondida 
Perceptron: 1
Peso [0]: -1.1137449996299895
Peso [0]: -1.1137449996299895
Peso [2]: 2.2588064964282006
Peso [3]: 3.3416183109170765
Peso [4]: -0.5686496729692919
Peso [5]: -3.0261144292933855
Peso [6]: -0.7259540652979252
Peso [7]: -1.4511244653130115
Peso [8]: -0.6514614874581658
Peso [9]: -2.4511244653130095
Peso [10]: 2.459143518573354
Peso [11]: -1.341618310917075
Peso [12]: -0.6918355857081672
Peso [13]: -1.3279385525741345
Peso [14]: -2.9888409531411906
Peso [15]: -3.1137449996299855
Peso [9]: -2.4511244653130095
Peso [17]: 0.5686496729692919
Peso [9]: -2.4511244653130095
Peso [19]: -2.2588064964282006
Peso [20]: -1.1843139185884421
Peso [21]: -1.9888409531411895
Peso [0]: -1.1137449996299895
Peso [17]: 0.5686496729692919
Peso [24]: -1.4900617007504955
Peso [25]: 1.4591435185733503
Peso [26]: -3.258806496428204
Peso [27]: -2.184313918588435
Peso [28]: -0.9888409531411863
Peso [0]: -1.1137449996299895
Peso [30]: 2.2295520735363503
Peso [31]: -1.790222064745958
Peso [32]: 1.1589831545778917
Peso [33]: -3.5589668604236575
Peso [34]: -1.8841535545929817
Peso [28]: -0.9888409531411863
Peso [36]: 1.7965229842563761
Peso [25]: 1.4591435185733503
Peso [38]: 2.5297124375318036
Peso [39]: 0.4591435185733556
Peso [40]: 2.651461487458163
Peso [20]: -1.1843139185884421
Peso [28]: -0.9888409531411863
Peso [43]: 1.9888409531411895
Peso [9]: -2.4511244653130095
Peso [9]: -2.4511244653130095
Peso [11]: -1.341618310917075
Peso [47]: 1.6514614874581637
Peso [27]: -2.184313918588435
Peso [7]: -1.4511244653130115
Peso [50]: 2.4511244653130095
Peso [9]: -2.4511244653130095
Peso [7]: -1.4511244653130115
Peso [53]: -3.451124465313013
Peso [54]: 3.327938552574131
Peso [13]: -1.3279385525741345
Peso [56]: 0.796522984256376
Peso [57]: 2.7965229842563817
Peso [58]: 3.451124465313013
Peso [59]: -1.568649672969287
Peso [60]: 2.341618310917073
Peso [61]: 1.6918355857081684
Peso [62]: 0.5297124375318057

Perceptron: 2
Peso [0]: 1.6318357446824465
Peso [1]: -0.3681642553175586
Peso [2]: -1.6939741644052253
Peso [3]: -0.6650933612115976
Peso [4]: -1.186126847448601
Peso [5]: 1.150280359098621
Peso [6]: -0.18712444380722984
Peso [7]: 1.5902045498473605
Peso [8]: -1.21500765064223
Peso [7]: 1.5902045498473605
Peso [10]: 0.11123803608436514
Peso [11]: -0.33490663878840365
Peso [12]: -0.5675442307777523
Peso [13]: 0.971621933176521
Peso [14]: 0.7433611545226899
Peso [1]: -0.3681642553175586
Peso [7]: 1.5902045498473605
Peso [17]: -0.813873152551403
Peso [18]: -0.4097954501526371
Peso [19]: -0.30602583559477237
Peso [20]: -0.3339090424297737
Peso [14]: 0.7433611545226899
Peso [1]: -0.3681642553175586
Peso [23]: 0.18612684744859884
Peso [24]: 1.4810605255953444
Peso [25]: -0.8887619639156373
Peso [26]: 1.6939741644052253
Peso [20]: -0.3339090424297737
Peso [14]: 0.7433611545226899
Peso [29]: 0.6318357446824426
Peso [30]: 0.4143876261024255
Peso [31]: 1.8184653285011927
Peso [32]: 1.4486428389902082
Peso [33]: 0.03137896731107093
Peso [34]: 1.3286861546643784
Peso [35]: -0.2566388454773104
Peso [36]: 1.152869230919446
Peso [10]: 0.11123803608436514
Peso [38]: -0.9230171768034227
Peso [39]: 1.1112380360843652
Peso [40]: 0.2150076506422308
Peso [41]: 1.6660909575702267
Peso [42]: -1.2566388454773108
Peso [43]: -0.7433611545226899
Peso [18]: -0.4097954501526371
Peso [7]: 1.5902045498473605
Peso [11]: -0.33490663878840365
Peso [40]: 0.2150076506422308
Peso [20]: -0.3339090424297737
Peso [49]: 0.5902045498473633
Peso [50]: -0.5902045498473633
Peso [49]: 0.5902045498473633
Peso [49]: 0.5902045498473633
Peso [7]: 1.5902045498473605
Peso [54]: 1.0283780668234865
Peso [13]: 0.971621933176521
Peso [56]: -0.8471307690805541
Peso [56]: -0.8471307690805541
Peso [58]: -1.5902045498473605
Peso [4]: -1.186126847448601
Peso [60]: -1.6650933612115963
Peso [61]: 0.5675442307777523
Peso [62]: 0.0769828231965813

Perceptron: 3
Peso [0]: 0.2104410794505972
Peso [1]: -1.7895589205494
Peso [2]: -0.8371682478197875
Peso [3]: 0.05781658305952004
Peso [4]: -2.097973097372902
Peso [5]: -1.844315570927628
Peso [6]: -1.6837158863373645
Peso [7]: 0.03650770916942115
Peso [8]: -0.99295792825221
Peso [9]: -0.963492290830582
Peso [10]: 1.1922973896018407
Peso [11]: -0.05781658305952004
Peso [12]: 0.4891864291455709
Peso [13]: -1.5506518173490578
Peso [14]: -0.1668912985333872
Peso [15]: -0.7895589205494022
Peso [9]: -0.963492290830582
Peso [17]: 0.09797309737290338
Peso [9]: -0.963492290830582
Peso [19]: -0.1628317521802127
Peso [20]: 0.5279262059049439
Peso [21]: 0.8331087014666128
Peso [0]: 0.2104410794505972
Peso [17]: 0.09797309737290338
Peso [24]: 0.8133468749440167
Peso [10]: 1.1922973896018407
Peso [19]: -0.1628317521802127
Peso [27]: -0.47207379409505607
Peso [21]: 0.8331087014666128
Peso [15]: -0.7895589205494022
Peso [30]: -0.28578742144276265
Peso [31]: 0.6527471903537547
Peso [32]: 1.0316977050115814
Peso [33]: -0.3234314367704744
Peso [34]: -1.3114741095047975
Peso [14]: -0.1668912985333872
Peso [36]: 0.3662307598830217
Peso [10]: 1.1922973896018407
Peso [38]: 1.8748122631475026
Peso [39]: 0.19229738960184473
Peso [40]: -0.007042071747789492
Peso [41]: -1.472073794095061
Peso [42]: -1.1668912985333935
Peso [43]: 1.1668912985333935
Peso [44]: 1.0365077091694195
Peso [44]: 1.0365077091694195
Peso [46]: 0.9421834169404788
Peso [40]: -0.007042071747789492
Peso [27]: -0.47207379409505607
Peso [9]: -0.963492290830582
Peso [50]: 0.963492290830582
Peso [44]: 1.0365077091694195
Peso [44]: 1.0365077091694195
Peso [7]: 0.03650770916942115
Peso [54]: 0.5506518173490524
Peso [13]: -1.5506518173490578
Peso [36]: 0.3662307598830217
Peso [57]: -0.6337692401169792
Peso [50]: 0.963492290830582
Peso [59]: -1.0979730973729025
Peso [60]: 1.057816583059522
Peso [61]: -0.4891864291455709
Peso [62]: -0.12518773685250095

Perceptron: 4
Peso [0]: -0.07378444649398402
Peso [1]: 0.9262155535060153
Peso [2]: -0.47656941475500225
Peso [3]: 0.6427915482817381
Peso [4]: 0.3266828457639273
Peso [5]: 0.9834829099321301
