CAMADA: cam_escondida 
Perceptron: 1
Peso [0]: -1.0528704746668092
Peso [0]: -1.0528704746668092
Peso [2]: 2.3196810213913803
Peso [3]: 3.319681021391384
Peso [4]: -0.5905869624949861
Peso [5]: -3.1575578732150147
Peso [6]: -0.8573975092195557
Peso [7]: -1.3196810213913786
Peso [4]: -0.5905869624949861
Peso [9]: -2.3196810213913803
Peso [10]: 2.5905869624949833
Peso [7]: -1.3196810213913786
Peso [12]: -0.7527101106713469
Peso [13]: -1.1575578732150176
Peso [14]: -2.8573975092195614
Peso [15]: -3.052870474666806
Peso [9]: -2.3196810213913803
Peso [17]: 0.5905869624949861
Peso [9]: -2.3196810213913803
Peso [9]: -2.3196810213913803
Peso [0]: -1.0528704746668092
Peso [21]: -1.8573975092195565
Peso [0]: -1.0528704746668092
Peso [17]: 0.5905869624949861
Peso [7]: -1.3196810213913786
Peso [25]: 1.5905869624949833
Peso [26]: -3.319681021391384
Peso [27]: -2.052870474666806
Peso [6]: -0.8573975092195557
Peso [0]: -1.0528704746668092
Peso [30]: 2.29042659849953
Peso [31]: -1.619841385386841
Peso [32]: 1.2904265984995247
Peso [33]: -3.619841385386837
Peso [34]: -1.7527101106713487
Peso [6]: -0.8573975092195557
Peso [36]: 1.8573975092195565
Peso [25]: 1.5905869624949833
Peso [10]: 2.5905869624949833
Peso [17]: 0.5905869624949861
Peso [10]: 2.5905869624949833
Peso [0]: -1.0528704746668092
Peso [6]: -0.8573975092195557
Peso [36]: 1.8573975092195565
Peso [9]: -2.3196810213913803
Peso [9]: -2.3196810213913803
Peso [7]: -1.3196810213913786
Peso [25]: 1.5905869624949833
Peso [27]: -2.052870474666806
Peso [7]: -1.3196810213913786
Peso [2]: 2.3196810213913803
Peso [9]: -2.3196810213913803
Peso [7]: -1.3196810213913786
Peso [26]: -3.319681021391384
Peso [54]: 3.1575578732150147
Peso [13]: -1.1575578732150176
Peso [56]: 0.8573975092195557
Peso [57]: 2.8573975092195614
Peso [3]: 3.319681021391384
Peso [59]: -1.5905869624949833
Peso [2]: 2.3196810213913803
Peso [61]: 1.7527101106713487
Peso [17]: 0.5905869624949861

Perceptron: 2
Peso [0]: 1.700848158405269
Peso [1]: -0.29915184159473385
Peso [2]: -1.6249617506824028
Peso [3]: -0.6249617506824027
Peso [4]: -1.1459952369194075
Peso [5]: 1.1155231582635787
Peso [6]: -0.22188164464226992
Peso [7]: 1.6249617506824028
Peso [4]: -1.1459952369194075
Peso [7]: 1.6249617506824028
Peso [10]: 0.14599523691940575
Peso [11]: -0.37503824931759716
Peso [12]: -0.636556644500577
Peso [5]: 1.1155231582635787
Peso [14]: 0.7781183553577293
Peso [1]: -0.29915184159473385
Peso [7]: 1.6249617506824028
Peso [17]: -0.8540047630805979
Peso [11]: -0.37503824931759716
Peso [11]: -0.37503824931759716
Peso [1]: -0.29915184159473385
Peso [14]: 0.7781183553577293
Peso [1]: -0.29915184159473385
Peso [10]: 0.14599523691940575
Peso [7]: 1.6249617506824028
Peso [17]: -0.8540047630805979
Peso [7]: 1.6249617506824028
Peso [1]: -0.29915184159473385
Peso [14]: 0.7781183553577293
Peso [29]: 0.7008481584052674
Peso [30]: 0.4834000398252503
Peso [31]: 1.962366553588251
Peso [32]: 1.4834000398252505
Peso [33]: -0.03763344641175363
Peso [34]: 1.3634433554994208
Peso [6]: -0.22188164464226992
Peso [36]: 1.2218816446422684
Peso [10]: 0.14599523691940575
Peso [17]: -0.8540047630805979
Peso [39]: 1.1459952369194075
Peso [10]: 0.14599523691940575
Peso [0]: 1.700848158405269
Peso [42]: -1.2218816446422684
Peso [43]: -0.7781183553577293
Peso [11]: -0.37503824931759716
Peso [7]: 1.6249617506824028
Peso [11]: -0.37503824931759716
Peso [10]: 0.14599523691940575
Peso [1]: -0.29915184159473385
Peso [49]: 0.6249617506824027
Peso [3]: -0.6249617506824027
Peso [49]: 0.6249617506824027
Peso [49]: 0.6249617506824027
Peso [7]: 1.6249617506824028
Peso [54]: 0.8844768417364267
Peso [5]: 1.1155231582635787
Peso [43]: -0.7781183553577293
Peso [43]: -0.7781183553577293
Peso [2]: -1.6249617506824028
Peso [4]: -1.1459952369194075
Peso [2]: -1.6249617506824028
Peso [61]: 0.636556644500577
Peso [10]: 0.14599523691940575

Perceptron: 3
Peso [0]: 0.2695139120029533
Peso [1]: -1.7304860879970465
Peso [2]: -0.7780954152674309
Peso [3]: 0.22190458473256883
Peso [4]: -1.9338850956998561
Peso [5]: -1.5859032770256425
Peso [6]: -1.425303592435379
Peso [7]: -0.22190458473256883
Peso [8]: -0.933885095699854
Peso [9]: -1.2219045847325694
Peso [10]: 0.933885095699854
Peso [7]: -0.22190458473256883
Peso [12]: 0.4301135965932152
Peso [5]: -1.5859032770256425
Peso [14]: -0.4253035924353771
Peso [15]: -0.7304860879970455
Peso [9]: -1.2219045847325694
Peso [17]: -0.06611490430014522
Peso [9]: -1.2219045847325694
Peso [7]: -0.22190458473256883
Peso [0]: 0.2695139120029533
Peso [21]: 0.5746964075646225
Peso [0]: 0.2695139120029533
Peso [17]: -0.06611490430014522
Peso [24]: 0.7780954152674309
Peso [10]: 0.933885095699854
Peso [7]: -0.22190458473256883
Peso [15]: -0.7304860879970455
Peso [21]: 0.5746964075646225
Peso [15]: -0.7304860879970455
Peso [30]: -0.22671458889040697
Peso [31]: 0.617495730677169
Peso [32]: 0.7732854111095928
Peso [33]: -0.3825042693228298
Peso [34]: -1.569886403406783
Peso [14]: -0.4253035924353771
Peso [36]: 0.4253035924353771
Peso [10]: 0.933885095699854
Peso [38]: 1.9338850956998561
Peso [17]: -0.06611490430014522
Peso [17]: -0.06611490430014522
Peso [1]: -1.7304860879970465
Peso [6]: -1.425303592435379
