CAMADA: cam_escondida 
Perceptron: 1
Peso [0]: 3.2232426797929716
Peso [1]: 1.7273278028139838
Peso [2]: -1.1704739412139145
Peso [3]: -1.7111983007357932
Peso [4]: 2.8547909652554027
Peso [5]: 4.6164398432855345
Peso [6]: -0.7919014571357091
Peso [7]: 2.8329049656352994
Peso [8]: 2.308804546907041
Peso [9]: 1.9087665746955964
Peso [10]: -3.6458812045339575
Peso [11]: 2.4973620401602927
Peso [12]: 1.3511462026312424
Peso [13]: 3.6165628814586386
Peso [14]: -0.15739477631093654
Peso [15]: 1.2991042888532784
Peso [16]: -0.8106589091358091
Peso [17]: -0.3378602552378559
Peso [18]: -0.8906785659294235
Peso [19]: 2.321704841382809
Peso [20]: 2.5308955193266622
Peso [14]: -0.15739477631093654
Peso [22]: 3.299104288853268
Peso [23]: -0.24105438782936647
Peso [24]: 0.9882969780358829
Peso [25]: -0.8296498532940638
Peso [26]: 1.2179558494163243
Peso [27]: 1.6740176475587714
Peso [14]: -0.15739477631093654
Peso [29]: 1.8109080776644848
Peso [30]: 1.0070596586618827
Peso [31]: 2.749601365574326
Peso [32]: -0.4289396387178287
Peso [33]: 3.298715932900523
Peso [34]: 0.8738320802431659
Peso [35]: 1.842605223689064
Peso [36]: -2.2555434903762825
Peso [37]: -1.2222460342384849
Peso [38]: -1.3621812706313778
Peso [39]: -0.718160911217479
Peso [40]: -1.232942937846741
Peso [41]: 2.5702686555922742
Peso [42]: 1.1231797398576588
Peso [43]: -0.1345212266192907
Peso [44]: -0.018953718620884907
Peso [45]: 1.4769611583581046
Peso [46]: -0.9262731301351722
Peso [47]: -1.513517454015334
Peso [48]: 2.8114700354952604
Peso [49]: 2.113479481803896
Peso [50]: -1.1134794818038898
Peso [51]: 0.9087665746955974
Peso [9]: 1.9087665746955964
Peso [53]: 2.4046814516745854
Peso [54]: -2.3913955042811863
Peso [55]: 2.014381463872984
Peso [56]: 1.5963151938799014
Peso [57]: -0.8273199764155726
Peso [58]: 0.24246432547330474
Peso [59]: 2.057285739069262
Peso [60]: 1.14978373698759
Peso [61]: 0.6488537973687485
Peso [62]: -0.5611017639957775

Perceptron: 2
